Date,Close,High,Low,Open,Volume,Returns
4/19/2023,28822.67969,30411.05469,28669.89844,30394.1875,24571565421,-0.051809205
4/20/2023,28245.98828,29076.40039,28037.25781,28823.68359,21340360360,-0.020008251
4/21/2023,27276.91016,28349.96875,27177.36523,28249.23047,20759504330,-0.034308523
4/22/2023,27817.5,27872.14258,27169.57031,27265.89453,13125734602,0.019818588
4/23/2023,27591.38477,27820.24414,27400.31445,27816.14453,12785446832,-0.008128525
4/24/2023,27525.33984,27979.98242,27070.84961,27591.73047,17703288330,-0.002393679
4/25/2023,28307.59766,28371.07813,27207.93164,27514.87305,17733373139,0.028419551
4/26/2023,28422.70117,29995.83789,27324.54883,28300.05859,31854242019,0.00406617
4/27/2023,29473.78711,29871.54688,28402.88672,28428.46484,27153445027,0.036980508
4/28/2023,29340.26172,29572.79102,28929.60938,29481.01367,17544464887,-0.00453031
4/29/2023,29248.48828,29452.45508,29088.04297,29336.56641,10662634333,-0.003127901
4/30/2023,29268.80664,29952.0293,29114.02148,29245.51563,14652199272,0.000694681
5/1/2023,28091.56836,29329.93555,27680.79297,29227.10352,18655599976,-0.040221602
5/2/2023,28680.53711,28881.29883,27924.12305,28087.17578,16432924527,0.020966033
5/3/2023,29006.30859,29259.5332,28178.38867,28680.49414,19122972518,0.011358626
5/4/2023,28847.71094,29353.18555,28694.03906,29031.30469,15548678514,-0.005467695
5/5/2023,29534.38477,29668.9082,28845.50977,28851.48047,17936566518,0.023803408
5/6/2023,28904.62305,29820.12695,28468.9668,29538.85938,15913866714,-0.021323001
5/7/2023,28454.97852,29157.51758,28441.36719,28901.62305,11301355486,-0.015556146
5/8/2023,27694.27344,28663.27148,27310.13477,28450.45703,19122903752,-0.026733637
5/9/2023,27658.77539,27821.40039,27375.60156,27695.06836,14128593256,-0.001281783
5/10/2023,27621.75586,28322.6875,26883.66992,27654.63672,20656025026,-0.001338437
5/11/2023,27000.78906,27621.94141,26781.82617,27621.08594,16724343943,-0.022481076
5/12/2023,26804.99023,27055.64648,25878.42969,26987.66211,19313599897,-0.007251597
5/13/2023,26784.07813,27030.48242,26710.87305,26807.76953,9999171605,-0.000780157
5/14/2023,26930.63867,27150.97656,26661.35547,26788.97461,10014858959,0.005471928
5/15/2023,27192.69336,27646.34766,26766.09766,26931.38477,14413231792,0.009730727
5/16/2023,27036.65039,27299.30469,26878.94727,27171.51367,12732238816,-0.005738415
5/17/2023,27398.80273,27465.92773,26600.14453,27035.4707,15140006925,0.013394867
5/18/2023,26832.20898,27466.52734,26415.10156,27401.65039,15222938600,-0.020679508
5/19/2023,26890.12891,27128.61914,26700.21094,26826.75391,11258983301,0.002158597
5/20/2023,27129.58594,27155.1582,26843.27734,26888.8418,7044911360,0.008905016
5/21/2023,26753.82617,27265.91797,26706.92188,27118.42383,8647416921,-0.013850553
5/22/2023,26851.27734,27045.73438,26549.73438,26749.89258,11056770492,0.003642513
